"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.753818380E0,-4.588470608E-2,-1.768018492E-2,9.227555990E-2
4.773818380E0,-1.175653785E-1,-1.261873096E-1,1.382300705E-1
4.793818380E0,-1.826312542E-1,-1.720894687E-2,1.106538773E-1
4.813818380E0,-1.758419275E-1,1.881988496E-1,1.183333248E-1
4.833818380E0,-1.270774156E-1,2.080606967E-1,1.476373971E-1
4.853818380E0,-1.259255111E-1,5.832890421E-2,1.370956153E-1
4.873816818E0,-7.223917544E-2,7.531096041E-2,4.776966199E-2
4.893818380E0,2.822197415E-2,1.798038185E-1,-5.873033032E-2
4.913816818E0,1.187871099E-1,1.476373971E-1,-1.438325793E-1
4.933818380E0,1.814793348E-1,7.942993194E-2,-1.774127185E-1
4.953816818E0,2.653424144E-1,6.070255116E-2,-2.542246580E-1
4.973818380E0,3.096039593E-1,8.848818950E-3,-3.089407384E-1
4.993818380E0,2.958333194E-1,-8.600982279E-2,-3.013485372E-1
5.013816818E0,1.948834658E-1,-1.014210805E-1,-1.773778051E-1
5.033819943E0,5.155702680E-2,-1.293638051E-1,-5.564109609E-2
5.053816818E0,-4.525638744E-2,-1.103048120E-2,4.221951589E-2
5.073823068E0,-4.845033959E-2,1.173733920E-1,6.316346675E-2
5.093816818E0,-4.005530477E-2,1.391725540E-1,6.747443229E-2
5.113818380E0,-6.220353395E-2,2.659707367E-1,3.600614145E-2
5.133821505E0,-7.822565734E-2,4.308170676E-1,3.473205119E-2
5.153818380E0,-8.829620481E-2,3.006329536E-1,8.976228535E-2
5.173818380E0,-8.834856749E-2,7.670722157E-2,1.771160066E-1
5.193818380E0,-5.181882530E-2,1.090307161E-1,1.981472224E-1
5.213818380E0,2.049365640E-1,-2.289697379E-1,-4.619013965E-1
5.233816818E0,-3.267256320E-1,-1.068158984E0,-1.118756011E-1
5.253818380E0,-8.524188399E-2,-8.330456167E-2,-4.277801886E-2
5.273818380E0,8.592256159E-2,1.663473248E-1,-8.424704522E-2
5.293818380E0,-5.763076991E-2,6.817255914E-2,-7.808603346E-2
5.313816818E0,-1.717403904E-2,-1.283864230E-1,-1.850049011E-3
5.333818380E0,4.841543362E-2,-8.724901080E-2,-3.516838327E-2
