"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.732336818E0,-2.125581741E0,7.253952026E-1,9.219246864E0
7.752338380E0,-2.112499952E0,4.616882503E-1,9.089826584E0
7.772336818E0,-2.078684092E0,2.723931074E-1,9.012810707E0
7.792338380E0,-2.010487795E0,3.792032301E-1,9.064580917E0
7.812338380E0,-1.869047880E0,6.184222698E-1,9.133172035E0
7.832338380E0,-1.844243884E0,6.957550049E-1,9.219879150E0
7.852338380E0,-1.928280354E0,6.874423027E-1,9.286255836E0
7.872338380E0,-1.940586567E0,5.817047954E-1,9.209737778E0
7.892339943E0,-1.950412393E0,4.451586902E-1,9.337012291E0
7.912338380E0,-1.951599956E0,3.229394853E-1,9.353331566E0
7.932338380E0,-1.870264053E0,3.839054406E-1,9.318587303E0
7.952336818E0,-1.809346080E0,4.716768563E-1,9.503631592E0
7.972338380E0,-1.795785308E0,5.543055534E-1,9.340250015E0
7.992338380E0,-1.821068048E0,6.805661917E-1,9.329744339E0
8.012338380E0,-1.701003671E0,5.796840787E-1,9.039968491E0
8.032338380E0,-1.542957544E0,6.106363535E-1,9.155561447E0
8.052338380E0,-1.443866372E0,4.149247110E-1,9.387290955E0
8.072336818E0,-1.491443992E0,4.621096253E-1,9.236112595E0
8.092336818E0,-1.523171902E0,5.402755141E-1,9.160158157E0
8.112338380E0,-1.612849116E0,4.558847249E-1,9.241053581E0
8.132338380E0,-1.668902159E0,4.126741588E-1,9.292011261E0
8.152336818E0,-1.594701052E0,4.987217784E-1,9.268375397E0
