"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.964737501E0,-1.966200709E0,3.815795898E0,-1.793744683E0
2.984737501E0,-7.610158920E-1,3.717638493E0,-1.715100169E0
3.004737501E0,3.024131954E-1,2.606265306E0,-1.553046346E0
3.024737501E0,2.700862169E0,1.435062051E0,-7.647508979E-1
3.044737501E0,2.891207695E0,3.022159815E0,-2.889741659E-1
3.064737501E0,1.351373553E0,4.038499832E0,-2.706482112E-1
3.084737501E0,1.863662601E-1,1.583100915E0,-3.579321206E-1
3.104737501E0,-2.769663036E-1,2.066469751E-2,-6.175323725E-1
3.124737501E0,-1.545838118E-1,-1.192583442E-1,-8.392764926E-1
3.144737501E0,3.678630590E-1,9.220574498E-1,-7.789579034E-1
3.164737501E0,8.382118344E-1,8.783718348E-1,-5.526235700E-1
3.184737501E0,1.132107854E0,4.973490238E-1,-3.758043051E-1
3.204737501E0,1.406875014E0,1.099819183E0,-3.876550794E-1
3.224737501E0,9.719215035E-1,1.500058174E0,-5.946860313E-1
3.244737501E0,4.356516302E-1,2.039783716E0,-6.315648556E-1
3.264737501E0,3.086789250E-1,2.045805216E0,-2.604380250E-1
3.284737501E0,1.611811519E-1,1.363329053E0,8.339183033E-2
3.304737501E0,-3.746174574E-1,9.843133092E-1,-3.874630854E-2
3.324737501E0,-7.235437036E-1,6.584254503E-1,-2.059837580E-1
3.344737501E0,-1.018818498E0,-1.391376406E-1,-3.689626157E-1
3.364737501E0,-8.640776277E-1,-1.449496001E-1,-3.689800501E-1
3.384737501E0,-7.099301219E-1,3.682644665E-1,-3.615972996E-1
3.404737501E0,-4.684463739E-1,4.646590054E-1,-1.351931989E-1
3.424737501E0,-7.517133355E-1,1.069415569E0,5.868669748E-1
3.444737501E0,-1.059118152E0,1.063062549E0,1.315925837E0
3.464737501E0,-7.237182260E-1,6.259623170E-1,1.990181446E0
3.484737501E0,3.321361542E-2,-2.668433785E-1,2.019799709E0
3.504737501E0,7.569318414E-1,-1.105439186E0,1.409876943E0
3.524737501E0,1.067862272E0,-1.187748909E0,9.611877203E-1
