"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.693915927E0,4.021492600E-1,2.322136164E0,9.163615227E0
5.713915927E0,3.885406256E-1,2.300914049E0,9.170912743E0
5.733914365E0,3.887512982E-1,2.308086872E0,9.179378510E0
5.753914365E0,4.118697047E-1,2.315863371E0,9.143762589E0
5.773915927E0,4.600697756E-1,2.321168900E0,9.131169319E0
5.793914365E0,4.929852486E-1,2.296374559E0,9.140899658E0
5.813915927E0,5.288121104E-1,2.242342234E0,9.179014206E0
5.833915927E0,5.183350444E-1,2.282919168E0,9.198916435E0
5.853914365E0,4.820581377E-1,2.315844059E0,9.161345482E0
5.873914365E0,4.430613816E-1,2.314235210E0,9.110770226E0
5.893914365E0,3.928693235E-1,2.311055660E0,9.114227295E0
5.913917490E0,3.565061986E-1,2.316428423E0,9.143407822E0
5.933914365E0,3.666576147E-1,2.294880629E0,9.158558846E0
5.953915927E0,4.387518167E-1,2.270632029E0,9.158597946E0
5.973915927E0,4.798554480E-1,2.307991266E0,9.134914398E0
5.993914365E0,5.243014097E-1,2.310002327E0,9.102965355E0
6.013915927E0,5.836776495E-1,2.281444311E0,9.097592354E0
6.033914365E0,5.684217811E-1,2.277125120E0,9.119590759E0
6.053915927E0,5.312637687E-1,2.271264076E0,9.188506126E0
6.073914365E0,4.427644908E-1,2.267749548E0,9.223058701E0
6.093914365E0,3.426772952E-1,2.250204802E0,9.199375153E0
6.113917490E0,2.557581961E-1,2.259130239E0,9.176352501E0
6.133914365E0,2.833106518E-1,2.276493073E0,9.131802559E0
6.153914365E0,3.803811669E-1,2.293817520E0,9.072386742E0
6.173914365E0,5.067375302E-1,2.305233002E0,9.092947960E0
6.193915927E0,6.040858030E-1,2.290341139E0,9.153685570E0
6.213915927E0,5.852290392E-1,2.308019876E0,9.208300591E0
6.233914365E0,5.333132148E-1,2.298682451E0,9.206128120E0
6.253914365E0,4.630768895E-1,2.286127329E0,9.123365402E0
6.273915927E0,4.486255050E-1,2.273514748E0,9.082125664E0
6.293914365E0,4.647049606E-1,2.250894308E0,9.077768326E0
6.313915927E0,4.701924622E-1,2.256755352E0,9.150007248E0
6.333915927E0,4.665245414E-1,2.247686148E0,9.189924240E0
6.353914365E0,4.601081014E-1,2.286606073E0,9.200831413E0
6.373914365E0,4.707287550E-1,2.284279108E0,9.168404579E0
6.393914365E0,4.283801317E-1,2.299467802E0,9.150112152E0
