"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.695810422E0,1.122246683E-2,2.914699726E-3,6.981316954E-3
5.715810422E0,-4.642575979E-3,-2.359685116E-2,6.283185445E-3
5.735811985E0,-1.382300723E-2,-3.169517964E-2,2.007128671E-3
5.755810422E0,-2.399827726E-2,-8.529423922E-2,-6.195918657E-3
5.775810422E0,-2.539454028E-2,-1.133067757E-1,-2.153736353E-2
5.795810422E0,-4.904375412E-3,-4.921828583E-2,-6.551966071E-2
5.815811985E0,2.151990868E-2,-4.858996719E-2,-1.034456640E-1
5.835810422E0,2.949606394E-3,-4.365068302E-2,-1.181238815E-1
5.855810422E0,-4.633849114E-2,-9.852383286E-2,-1.169545129E-1
5.875811985E0,-6.174974889E-2,-1.944122314E-1,-1.015432552E-1
5.895810422E0,-4.495968297E-2,-1.400103122E-1,-9.526006877E-2
5.915810422E0,-3.321361542E-2,-5.605997518E-2,-8.234463632E-2
5.935810422E0,-2.464404888E-2,-2.347467840E-2,-6.853908300E-2
5.955811985E0,-1.809906401E-2,-3.141592816E-2,-6.267477572E-2
5.975810422E0,-3.761184588E-2,-4.555309191E-2,-6.873106211E-2
5.995808860E0,-4.454080388E-2,-5.970771238E-2,-6.942919642E-2
6.015811985E0,-3.944443911E-2,-6.597344577E-2,-6.791076064E-2
6.035811985E0,-4.773475602E-2,-4.862487316E-2,-7.012733072E-2
6.055810422E0,-5.314527452E-2,-1.160643995E-2,-9.382890165E-2
6.075810422E0,-5.967280641E-2,1.090830751E-2,-1.112298295E-1
6.095811985E0,-9.658651799E-2,-1.774999872E-2,-1.033583954E-1
6.115810422E0,-1.416160166E-1,-1.026602685E-1,-6.995279342E-2
6.135810422E0,-1.622632593E-1,-1.108458638E-1,-3.420845419E-2
6.155810422E0,-1.703615934E-1,-5.743878707E-2,5.969026126E-3
6.175811985E0,-2.003812492E-1,-4.457570985E-2,1.989675313E-2
6.195810422E0,-2.088984549E-1,-4.408701509E-2,5.201081280E-3
6.215810422E0,-1.979377866E-1,-5.482079089E-2,4.537856206E-3
6.235811985E0,-1.524545103E-1,-5.173156038E-2,1.199041214E-2
6.255810422E0,-1.176002845E-1,-7.236135006E-2,3.349286690E-2
6.275810422E0,-7.951720059E-2,-2.794272080E-2,4.485496134E-2
6.295810422E0,-8.239699155E-2,-5.235987715E-3,3.387684003E-2
6.315810422E0,-9.897761792E-2,-1.553343050E-2,2.120575123E-2
6.335810422E0,-1.044754088E-1,-4.813618213E-2,8.726646047E-5
6.355810422E0,-1.220683306E-1,-8.365362883E-2,-1.953023486E-2
6.375811985E0,-1.534842551E-1,-1.310916841E-1,-4.061381146E-2
6.395810422E0,-1.528559327E-1,-2.052856237E-1,-5.166174471E-2
6.415810422E0,-1.372352391E-1,-2.753431499E-1,-6.157521531E-2
6.435810422E0,-1.082802266E-1,-2.891486883E-1,-9.375908971E-2
6.455811985E0,-7.625343651E-2,-2.512052357E-1,-1.137780100E-1
6.475810422E0,-5.876523629E-2,-1.898045540E-1,-1.228362694E-1
6.495808860E0,-5.583308265E-2,-1.448972374E-1,-1.332558841E-1
6.515811985E0,-6.914994121E-2,-1.077915356E-1,-1.437278688E-1
6.535811985E0,-9.354964644E-2,-9.215338528E-2,-1.256811619E-1
6.555810422E0,-1.073377505E-1,-9.231046587E-2,-1.107585952E-1
6.575810422E0,-1.206197068E-1,-1.167799830E-1,-8.321730047E-2
6.595811985E0,-1.140398160E-1,-1.534668058E-1,-4.281292483E-2
6.615810422E0,-9.318313003E-2,-1.624377966E-1,-2.897246554E-2
6.635810422E0,-7.998844236E-2,-1.355073601E-1,-3.070034087E-2
6.655810422E0,-8.810421824E-2,-1.310916841E-1,-1.942551509E-2
6.675811985E0,-9.779080003E-2,-1.047721133E-1,-9.564404376E-3
6.695810422E0,-9.246754646E-2,-7.473500073E-2,-1.151917269E-3
6.715810422E0,-5.098106712E-2,-2.125811018E-2,-3.787364578E-3
6.735811985E0,-1.288053021E-2,4.717624933E-2,-1.445132587E-2
6.755810422E0,-2.190388180E-2,5.183627829E-2,-1.270599663E-2
6.775810422E0,-6.112143025E-2,-2.565634064E-2,1.483529806E-3
6.795810422E0,-7.599163800E-2,-8.180358261E-2,1.672025397E-2
6.815811985E0,-6.845181435E-2,-1.068141535E-1,2.019345947E-2
6.835810422E0,-6.557202339E-2,-1.068665087E-1,1.816887781E-2
6.855810422E0,-6.352998316E-2,-9.630727023E-2,1.045452245E-2
6.875811985E0,-6.276203692E-2,-8.609709144E-2,3.438298590E-3
6.895810422E0,-6.101670861E-2,-8.920377493E-2,-7.853981806E-4
6.915810422E0,-5.197590590E-2,-6.010913849E-2,-6.527531426E-3
6.935810422E0,-4.265584797E-2,-3.375466913E-2,-1.384046115E-2
6.955810422E0,-3.539527580E-2,-2.988003753E-2,-1.642354764E-2
6.975810422E0,-3.611086309E-2,-4.366813600E-2,-1.015781611E-2
6.995808860E0,-4.248131439E-2,-6.164502725E-2,-9.756390937E-3
7.015811985E0,-4.799655452E-2,-8.004079759E-2,-1.413716655E-2
7.035811985E0,-4.998622835E-2,-9.957103431E-2,-1.542871073E-2
7.055810422E0,-5.455899239E-2,-1.026951745E-1,-7.470009383E-3
7.075810422E0,-5.263913050E-2,-8.569566905E-2,-7.714355364E-3
