"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.887343304E2,2.598340750E0,9.411798477E0,5.409458876E-1
3.887543304E2,2.625797510E0,9.412995338E0,5.399020314E-1
3.887743320E2,2.631447792E0,9.403255463E0,5.390976071E-1
3.887943304E2,2.646809101E0,9.356176376E0,5.529360771E-1
3.888143304E2,2.655677080E0,9.351024628E0,5.680195689E-1
3.888343304E2,2.662390471E0,9.382034302E0,5.292047262E-1
3.888543320E2,2.636006355E0,9.407402039E0,5.316947103E-1
3.888743304E2,2.618385077E0,9.427686691E0,5.533478856E-1
3.888943351E2,2.604843378E0,9.414556503E0,5.344241261E-1
3.889143320E2,2.619495869E0,9.382081985E0,5.468931198E-1
3.889343320E2,2.615176916E0,9.391035080E0,5.544875264E-1
3.889543304E2,2.656912565E0,9.388508797E0,5.392987132E-1
3.889743304E2,2.627885342E0,9.392434120E0,5.515091419E-1
3.889943304E2,2.637749434E0,9.377417564E0,5.278065205E-1
3.890143304E2,2.612323046E0,9.409452438E0,5.321831107E-1
3.890343304E2,2.638429403E0,9.399119377E0,5.460695028E-1
3.890543304E2,2.601510763E0,9.391228676E0,5.475730896E-1
3.890743320E2,2.642499447E0,9.385931969E0,5.512984395E-1
3.890943304E2,2.623202085E0,9.389570236E0,5.262455344E-1
3.891143304E2,2.623604536E0,9.410486221E0,5.308519602E-1
3.891343320E2,2.619342804E0,9.409269333E0,5.330641866E-1
3.891543304E2,2.629005671E0,9.404749870E0,5.150215030E-1
3.891743304E2,2.623058558E0,9.380453110E0,5.480327606E-1
3.891943304E2,2.619036198E0,9.384801865E0,5.226829648E-1
3.892143320E2,2.640986443E0,9.400010109E0,5.310721993E-1
3.892343304E2,2.650017262E0,9.400602341E0,5.339452624E-1
3.892543304E2,2.620942116E0,9.399262428E0,5.511356592E-1
3.892743320E2,2.619716167E0,9.427858353E0,5.413576961E-1
3.892943304E2,2.643466711E0,9.390671730E0,5.376131535E-1
3.893143304E2,2.612955093E0,9.400048256E0,5.324800014E-1
3.893343304E2,2.615828037E0,9.390470505E0,5.462035537E-1
3.893543320E2,2.613663673E0,9.401426315E0,5.449777246E-1
3.893743304E2,2.625299454E0,9.397232056E0,5.400552750E-1
3.893943304E2,2.620252609E0,9.393498421E0,5.411661863E-1
3.894143320E2,2.600926638E0,9.433259964E0,5.389060378E-1
3.894343320E2,2.609200954E0,9.421863556E0,5.254123211E-1
3.894543304E2,2.590535641E0,9.394818306E0,5.365788937E-1
3.894743304E2,2.599413395E0,9.394263268E0,5.393465757E-1
3.894943304E2,2.621765614E0,9.420426369E0,5.302294493E-1
3.895143304E2,2.627751112E0,9.411348343E0,5.289078355E-1
3.895343304E2,2.631380796E0,9.386036873E0,5.483487844E-1
3.895543304E2,2.627799034E0,9.363847733E0,5.333898067E-1
3.895743320E2,2.645046949E0,9.399099350E0,5.113918781E-1
3.895943304E2,2.621890068E0,9.416557312E0,5.501875281E-1
3.896143304E2,2.621526241E0,9.415841103E0,5.453512669E-1
3.896343320E2,2.632415056E0,9.410859108E0,5.367416739E-1
3.896543304E2,2.606701374E0,9.397059441E0,5.558378696E-1
3.896743304E2,2.628019333E0,9.397796631E0,5.444509983E-1
3.896943304E2,2.635604143E0,9.398926735E0,5.346539617E-1
3.897143320E2,2.640967131E0,9.371881485E0,5.583277941E-1
3.897343304E2,2.632462978E0,9.368549347E0,5.294824839E-1
3.897543304E2,2.615042686E0,9.413100243E0,5.400936007E-1
3.897743320E2,2.622867107E0,9.406310081E0,5.575616956E-1
3.897943304E2,2.605255365E0,9.386046410E0,5.456576943E-1
3.898143304E2,2.622570038E0,9.394100189E0,5.387145281E-1
3.898343304E2,2.614947081E0,9.419833183E0,5.252016187E-1
3.898543320E2,2.610934258E0,9.401062012E0,5.303539634E-1
3.898743304E2,2.602449179E0,9.375128746E0,5.312158465E-1
3.898943304E2,2.608904123E0,9.387989998E0,5.344336629E-1
3.899143304E2,2.626716852E0,9.393084526E0,5.520166755E-1
3.899343304E2,2.627262831E0,9.409107208E0,5.448149443E-1
3.899543304E2,2.609133959E0,9.394148827E0,5.339643955E-1
3.899743304E2,2.615942955E0,9.384505272E0,5.380441546E-1
3.899943304E2,2.620022774E0,9.401732445E0,5.429666042E-1
3.900143304E2,2.615272522E0,9.401062012E0,5.409076214E-1
3.900343304E2,2.615875959E0,9.396716118E0,5.413960218E-1
3.900543304E2,2.582328320E0,9.397328377E0,5.509344935E-1
3.900743320E2,2.613826513E0,9.394120216E0,5.321639776E-1
3.900943304E2,2.601501226E0,9.395067215E0,5.495554805E-1
3.901143304E2,2.612390041E0,9.407623291E0,5.433496833E-1
3.901343320E2,2.617015600E0,9.410093307E0,5.371343493E-1
3.901543304E2,2.604374170E0,9.393937111E0,5.392507911E-1
3.901743304E2,2.579991579E0,9.390231133E0,5.330929160E-1
3.901943304E2,2.586532593E0,9.401608467E0,5.434167385E-1
3.902143304E2,2.621880531E0,9.445939064E0,5.379770994E-1
3.902343304E2,2.600332737E0,9.421328545E0,5.415396690E-1
3.902543304E2,2.615377903E0,9.376852989E0,5.459162593E-1
3.902743320E2,2.634809256E0,9.360198021E0,5.489712954E-1
3.902943304E2,2.636140347E0,9.386171341E0,5.314648747E-1
3.903143304E2,2.612772942E0,9.432608604E0,5.671001673E-1
3.903343304E2,2.581102610E0,9.426354408E0,5.391837955E-1
3.903543320E2,2.597718239E0,9.423769951E0,5.251633525E-1
3.903743304E2,2.611547232E0,9.394827843E0,5.560772419E-1
3.903943304E2,2.621574163E0,9.409920692E0,5.527349710E-1
3.904143304E2,2.642652750E0,9.361663818E0,5.469697118E-1
3.904343320E2,2.621727467E0,9.360648155E0,5.479657054E-1
3.904543304E2,2.622761726E0,9.391524315E0,5.428420901E-1
3.904743304E2,2.577032328E0,9.430012703E0,5.355733037E-1
3.904943304E2,2.594797373E0,9.421020508E0,5.536735058E-1
3.905143304E2,2.600591421E0,9.395517349E0,5.323172212E-1
3.905343304E2,2.613749981E0,9.395919800E0,5.430240631E-1
3.905543304E2,2.606059790E0,9.400336266E0,5.328726768E-1
3.905743320E2,2.594079018E0,9.407278061E0,5.279119015E-1
3.905943304E2,2.575480938E0,9.405266762E0,5.241577625E-1
3.906143304E2,2.585756779E0,9.418081284E0,5.340697765E-1
3.906343320E2,2.587796688E0,9.420340538E0,5.349987149E-1
3.906543304E2,2.607218504E0,9.408533096E0,5.390114188E-1
3.906743304E2,2.612303734E0,9.397529602E0,5.343379378E-1
3.906943289E2,2.599940062E0,9.384955406E0,5.404478908E-1
3.907143320E2,2.631265879E0,9.396887779E0,5.341080427E-1
3.907343304E2,2.593485355E0,9.410294533E0,5.208920836E-1
3.907543304E2,2.584846973E0,9.400737762E0,5.310243368E-1
3.907743320E2,2.616421700E0,9.407882690E0,5.366363525E-1
3.907943320E2,2.601683140E0,9.408129692E0,5.531850457E-1
3.908143304E2,2.630030394E0,9.418129921E0,5.179998875E-1
3.908343304E2,2.610493660E0,9.410917282E0,5.227308273E-1
3.908543320E2,2.599825144E0,9.399185181E0,5.345869064E-1
3.908743304E2,2.585622787E0,9.391514778E0,5.532521009E-1
3.908943304E2,2.597459793E0,9.392971039E0,5.392603874E-1
3.909143304E2,2.623144627E0,9.440796852E0,5.164101124E-1
3.909343320E2,2.633047104E0,9.419239044E0,5.308806896E-1
3.909543304E2,2.616374016E0,9.376603127E0,5.379675031E-1
3.909743304E2,2.625088930E0,9.350985527E0,5.275096297E-1
3.909943304E2,2.640718222E0,9.392128944E0,5.298463702E-1
3.910143304E2,2.652401924E0,9.411894798E0,5.464717150E-1
3.910343304E2,2.616335630E0,9.408187866E0,5.449681878E-1
